,ghg_externality,landlord_dilemma,multi_family,credit_constraint_heater,credit_constraint_insulation,present_bias,status_quo_bias
S18,carbon_tax_vsc,landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,no_present_bias,status_quo_bias
S19,carbon_tax_vsc,landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,no_present_bias,no_status_quo_bias
S20,carbon_tax_vsc,landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,status_quo_bias
S21,carbon_tax_vsc,landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S22,carbon_tax_vsc,landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S23,carbon_tax_vsc,landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S24,carbon_tax_vsc,landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,present_bias,status_quo_bias
S25,carbon_tax_vsc,landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,present_bias,no_status_quo_bias
S26,carbon_tax_vsc,landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,status_quo_bias
S27,carbon_tax_vsc,landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,no_status_quo_bias
S28,carbon_tax_vsc,landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,status_quo_bias
S29,carbon_tax_vsc,landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S30,carbon_tax_vsc,landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S31,carbon_tax_vsc,landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S32,carbon_tax_vsc,no_landlord_dilemma,multi_family,credit_constraint,credit_constraint,present_bias,status_quo_bias
S33,carbon_tax_vsc,no_landlord_dilemma,multi_family,credit_constraint,credit_constraint,present_bias,no_status_quo_bias
S34,carbon_tax_vsc,no_landlord_dilemma,multi_family,credit_constraint,credit_constraint,no_present_bias,status_quo_bias
S35,carbon_tax_vsc,no_landlord_dilemma,multi_family,credit_constraint,credit_constraint,no_present_bias,no_status_quo_bias
S36,carbon_tax_vsc,no_landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,status_quo_bias
S37,carbon_tax_vsc,no_landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S38,carbon_tax_vsc,no_landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S39,carbon_tax_vsc,no_landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S40,carbon_tax_vsc,no_landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,present_bias,status_quo_bias
S41,carbon_tax_vsc,no_landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,present_bias,no_status_quo_bias
S42,carbon_tax_vsc,no_landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,status_quo_bias
S43,carbon_tax_vsc,no_landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,no_status_quo_bias
S44,carbon_tax_vsc,no_landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,status_quo_bias
S45,carbon_tax_vsc,no_landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S46,carbon_tax_vsc,no_landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S47,carbon_tax_vsc,no_landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S48,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,present_bias,status_quo_bias
S49,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,present_bias,no_status_quo_bias
S50,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,no_present_bias,status_quo_bias
S51,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,no_present_bias,no_status_quo_bias
S52,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,status_quo_bias
S53,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S54,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S55,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S56,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,present_bias,status_quo_bias
S57,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,present_bias,no_status_quo_bias
S58,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,status_quo_bias
S59,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,no_status_quo_bias
S60,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,status_quo_bias
S61,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S62,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S63,carbon_tax_vsc,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S64,no_ghg_externality,landlord_dilemma,multi_family,credit_constraint,credit_constraint,present_bias,status_quo_bias
S65,no_ghg_externality,landlord_dilemma,multi_family,credit_constraint,credit_constraint,present_bias,no_status_quo_bias
S66,no_ghg_externality,landlord_dilemma,multi_family,credit_constraint,credit_constraint,no_present_bias,status_quo_bias
S67,no_ghg_externality,landlord_dilemma,multi_family,credit_constraint,credit_constraint,no_present_bias,no_status_quo_bias
S68,no_ghg_externality,landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,status_quo_bias
S69,no_ghg_externality,landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S70,no_ghg_externality,landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S71,no_ghg_externality,landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S72,no_ghg_externality,landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,present_bias,status_quo_bias
S73,no_ghg_externality,landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,present_bias,no_status_quo_bias
S74,no_ghg_externality,landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,status_quo_bias
S75,no_ghg_externality,landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,no_status_quo_bias
S76,no_ghg_externality,landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,status_quo_bias
S77,no_ghg_externality,landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S78,no_ghg_externality,landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S79,no_ghg_externality,landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S80,no_ghg_externality,landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,present_bias,status_quo_bias
S81,no_ghg_externality,landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,present_bias,no_status_quo_bias
S82,no_ghg_externality,landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,no_present_bias,status_quo_bias
S83,no_ghg_externality,landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,no_present_bias,no_status_quo_bias
S84,no_ghg_externality,landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,status_quo_bias
S85,no_ghg_externality,landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S86,no_ghg_externality,landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S87,no_ghg_externality,landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S88,no_ghg_externality,landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,present_bias,status_quo_bias
S89,no_ghg_externality,landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,present_bias,no_status_quo_bias
S90,no_ghg_externality,landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,status_quo_bias
S91,no_ghg_externality,landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,no_status_quo_bias
S92,no_ghg_externality,landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,status_quo_bias
S93,no_ghg_externality,landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S94,no_ghg_externality,landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S95,no_ghg_externality,landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S96,no_ghg_externality,no_landlord_dilemma,multi_family,credit_constraint,credit_constraint,present_bias,status_quo_bias
S97,no_ghg_externality,no_landlord_dilemma,multi_family,credit_constraint,credit_constraint,present_bias,no_status_quo_bias
S98,no_ghg_externality,no_landlord_dilemma,multi_family,credit_constraint,credit_constraint,no_present_bias,status_quo_bias
S99,no_ghg_externality,no_landlord_dilemma,multi_family,credit_constraint,credit_constraint,no_present_bias,no_status_quo_bias
S100,no_ghg_externality,no_landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,status_quo_bias
S101,no_ghg_externality,no_landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S102,no_ghg_externality,no_landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S103,no_ghg_externality,no_landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S104,no_ghg_externality,no_landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,present_bias,status_quo_bias
S105,no_ghg_externality,no_landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,present_bias,no_status_quo_bias
S106,no_ghg_externality,no_landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,status_quo_bias
S107,no_ghg_externality,no_landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,no_status_quo_bias
S108,no_ghg_externality,no_landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,status_quo_bias
S109,no_ghg_externality,no_landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S110,no_ghg_externality,no_landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S111,no_ghg_externality,no_landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S112,no_ghg_externality,no_landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,present_bias,status_quo_bias
S113,no_ghg_externality,no_landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,present_bias,no_status_quo_bias
S114,no_ghg_externality,no_landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,no_present_bias,status_quo_bias
S115,no_ghg_externality,no_landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,no_present_bias,no_status_quo_bias
S116,no_ghg_externality,no_landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,status_quo_bias
S117,no_ghg_externality,no_landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S118,no_ghg_externality,no_landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S119,no_ghg_externality,no_landlord_dilemma,no_multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S120,no_ghg_externality,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,present_bias,status_quo_bias
S121,no_ghg_externality,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,present_bias,no_status_quo_bias
S122,no_ghg_externality,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,status_quo_bias
S123,no_ghg_externality,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,no_status_quo_bias
S124,no_ghg_externality,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,status_quo_bias
S125,no_ghg_externality,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S126,no_ghg_externality,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S127,no_ghg_externality,no_landlord_dilemma,no_multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
